id,product,city,category,priority,complaint_date,complaint
1327,Earbuds Q,Ahmedabad,Hardware,Medium,2025-07-29,My Earbuds Q has an issue: payment failed.
1328,Tablet S,Bangalore,Delivery,Medium,2025-06-30,My Tablet S has an issue: camera blurred.
1329,Phone X,Chennai,Hardware,Medium,2025-12-02,My Phone X has an issue: device overheating.
1330,Tablet S,Jaipur,Delivery,High,2025-05-18,My Tablet S has an issue: camera blurred.
1331,Laptop Pro,Ahmedabad,Billing,Medium,2025-05-10,My Laptop Pro has an issue: delivery delayed.
1332,Laptop Pro,Delhi,Software,Low,2025-04-24,My Laptop Pro has an issue: shipment lost.
1333,Tablet S,Mumbai,Network,Medium,2025-01-20,My Tablet S has an issue: wifi disconnects.
1334,Smartwatch Z,Delhi,Hardware,Low,2025-03-30,My Smartwatch Z has an issue: screen not working.
1335,Earbuds Q,Chennai,Software,High,2025-03-17,My Earbuds Q has an issue: wifi disconnects.
1336,Phone X,Pune,Software,High,2025-04-02,My Phone X has an issue: delivery delayed.
1337,Laptop Pro,Kolkata,Billing,Critical,2025-07-13,My Laptop Pro has an issue: camera blurred.
1338,Phone X,Lucknow,Hardware,Low,2025-01-06,My Phone X has an issue: device overheating.
1339,Earbuds Q,Mumbai,Software,Medium,2025-05-17,My Earbuds Q has an issue: payment failed.
1340,Smartwatch Z,Mumbai,Network,Low,2025-01-23,My Smartwatch Z has an issue: wifi disconnects.
1341,Laptop Pro,Chennai,Network,Low,2025-03-05,My Laptop Pro has an issue: app crashes.
1342,Phone X,Mumbai,Software,Low,2025-08-27,My Phone X has an issue: no sound.
1343,Phone X,Hyderabad,Delivery,Medium,2025-01-03,My Phone X has an issue: wifi disconnects.
1344,Tablet S,Lucknow,Delivery,Medium,2025-12-02,My Tablet S has an issue: device overheating.
1345,Phone X,Chennai,Hardware,High,2025-01-21,My Phone X has an issue: app crashes.
1346,Tablet S,Delhi,Delivery,Medium,2025-08-17,My Tablet S has an issue: app crashes.
1347,Tablet S,Hyderabad,Delivery,Critical,2025-02-17,My Tablet S has an issue: delivery delayed.
1348,Earbuds Q,Chennai,Billing,Medium,2025-05-04,My Earbuds Q has an issue: screen not working.
1349,Smartwatch Z,Delhi,Software,Medium,2025-04-01,My Smartwatch Z has an issue: no sound.
1350,Smartwatch Z,Delhi,Hardware,High,2025-07-19,My Smartwatch Z has an issue: device overheating.
1351,Laptop Pro,Kolkata,Hardware,Medium,2025-08-15,My Laptop Pro has an issue: camera blurred.
1352,Laptop Pro,Kolkata,Software,High,2025-06-26,My Laptop Pro has an issue: app crashes.
1353,Tablet S,Jaipur,Network,Medium,2025-11-10,My Tablet S has an issue: payment failed.
1354,Earbuds Q,Pune,Delivery,High,2025-06-18,My Earbuds Q has an issue: screen not working.
1355,Laptop Pro,Mumbai,Billing,Low,2025-11-16,My Laptop Pro has an issue: payment failed.
1356,Smartwatch Z,Pune,Hardware,Medium,2025-05-18,My Smartwatch Z has an issue: app crashes.
1357,Laptop Pro,Mumbai,Network,Medium,2025-02-05,My Laptop Pro has an issue: app crashes.
1358,Phone X,Hyderabad,Hardware,Low,2025-01-04,My Phone X has an issue: no sound.
1359,Phone X,Kolkata,Software,High,2025-06-02,My Phone X has an issue: delivery delayed.
1360,Tablet S,Kolkata,Billing,High,2025-09-17,My Tablet S has an issue: app crashes.
1361,Smartwatch Z,Bangalore,Hardware,Medium,2025-12-15,My Smartwatch Z has an issue: shipment lost.
1362,Laptop Pro,Lucknow,Billing,High,2025-01-16,My Laptop Pro has an issue: app crashes.
1363,Smartwatch Z,Lucknow,Billing,Low,2025-03-09,My Smartwatch Z has an issue: payment failed.
1364,Smartwatch Z,Kolkata,Billing,Medium,2025-12-19,My Smartwatch Z has an issue: wifi disconnects.
1365,Laptop Pro,Pune,Delivery,High,2025-01-14,My Laptop Pro has an issue: battery drains fast.
1366,Tablet S,Delhi,Hardware,High,2025-02-15,My Tablet S has an issue: device overheating.
1367,Phone X,Pune,Delivery,High,2025-07-27,My Phone X has an issue: device overheating.
1368,Laptop Pro,Lucknow,Network,High,2025-11-20,My Laptop Pro has an issue: no sound.
1369,Earbuds Q,Delhi,Delivery,Medium,2025-02-13,My Earbuds Q has an issue: device overheating.
1370,Smartwatch Z,Chennai,Hardware,Low,2025-12-30,My Smartwatch Z has an issue: app crashes.
1371,Phone X,Delhi,Hardware,Medium,2025-01-14,My Phone X has an issue: no sound.
1372,Earbuds Q,Chennai,Delivery,Critical,2025-09-13,My Earbuds Q has an issue: device overheating.
1373,Smartwatch Z,Lucknow,Software,Low,2025-11-27,My Smartwatch Z has an issue: payment failed.
1374,Smartwatch Z,Bangalore,Billing,Low,2025-12-18,My Smartwatch Z has an issue: wifi disconnects.
1375,Earbuds Q,Chennai,Hardware,Medium,2025-11-15,My Earbuds Q has an issue: no sound.
1376,Tablet S,Lucknow,Software,Low,2025-01-04,My Tablet S has an issue: device overheating.
1377,Phone X,Mumbai,Hardware,Low,2025-03-05,My Phone X has an issue: delivery delayed.
1378,Tablet S,Pune,Hardware,High,2025-10-22,My Tablet S has an issue: no sound.
1379,Smartwatch Z,Mumbai,Delivery,Critical,2025-03-24,My Smartwatch Z has an issue: shipment lost.
1380,Tablet S,Pune,Billing,Medium,2025-03-01,My Tablet S has an issue: screen not working.
1381,Earbuds Q,Bangalore,Billing,Low,2025-01-15,My Earbuds Q has an issue: battery drains fast.
1382,Phone X,Chennai,Delivery,Medium,2025-09-27,My Phone X has an issue: app crashes.
1383,Smartwatch Z,Delhi,Hardware,Low,2025-04-13,My Smartwatch Z has an issue: wifi disconnects.
1384,Tablet S,Lucknow,Software,Low,2025-05-09,My Tablet S has an issue: no sound.
1385,Tablet S,Bangalore,Hardware,Low,2025-06-20,My Tablet S has an issue: camera blurred.
1386,Tablet S,Hyderabad,Software,High,2025-07-21,My Tablet S has an issue: device overheating.
1387,Tablet S,Mumbai,Delivery,High,2025-12-10,My Tablet S has an issue: battery drains fast.
1388,Phone X,Delhi,Billing,High,2025-11-05,My Phone X has an issue: battery drains fast.
1389,Laptop Pro,Pune,Software,Low,2025-07-06,My Laptop Pro has an issue: payment failed.
1390,Earbuds Q,Lucknow,Hardware,Low,2025-01-21,My Earbuds Q has an issue: device overheating.
1391,Tablet S,Kolkata,Delivery,Low,2025-05-01,My Tablet S has an issue: battery drains fast.
1392,Smartwatch Z,Jaipur,Delivery,High,2025-05-14,My Smartwatch Z has an issue: app crashes.
1393,Smartwatch Z,Lucknow,Network,High,2025-08-11,My Smartwatch Z has an issue: no sound.
1394,Tablet S,Bangalore,Delivery,Low,2025-06-30,My Tablet S has an issue: battery drains fast.
1395,Laptop Pro,Chennai,Billing,Critical,2025-01-08,My Laptop Pro has an issue: screen not working.
1396,Tablet S,Lucknow,Software,Medium,2025-04-10,My Tablet S has an issue: no sound.
1397,Laptop Pro,Pune,Delivery,Medium,2025-02-22,My Laptop Pro has an issue: screen not working.
1398,Earbuds Q,Ahmedabad,Software,High,2025-02-11,My Earbuds Q has an issue: payment failed.
1399,Tablet S,Pune,Hardware,Low,2025-05-15,My Tablet S has an issue: wifi disconnects.
1400,Phone X,Hyderabad,Hardware,Medium,2025-04-03,My Phone X has an issue: camera blurred.
1401,Tablet S,Delhi,Hardware,Medium,2025-06-20,My Tablet S has an issue: app crashes.
1402,Smartwatch Z,Delhi,Billing,Low,2025-08-11,My Smartwatch Z has an issue: no sound.
1403,Smartwatch Z,Delhi,Delivery,Low,2025-12-17,My Smartwatch Z has an issue: screen not working.
1404,Phone X,Bangalore,Billing,Medium,2025-05-28,My Phone X has an issue: no sound.
1405,Laptop Pro,Jaipur,Hardware,Low,2025-01-23,My Laptop Pro has an issue: camera blurred.
1406,Smartwatch Z,Lucknow,Billing,Critical,2025-06-23,My Smartwatch Z has an issue: camera blurred.
1407,Smartwatch Z,Chennai,Hardware,Medium,2025-02-27,My Smartwatch Z has an issue: screen not working.
1408,Earbuds Q,Hyderabad,Software,High,2025-02-05,My Earbuds Q has an issue: app crashes.
1409,Tablet S,Ahmedabad,Delivery,Medium,2025-08-04,My Tablet S has an issue: shipment lost.
1410,Phone X,Kolkata,Software,Low,2025-12-11,My Phone X has an issue: device overheating.
1411,Laptop Pro,Kolkata,Network,Low,2025-06-20,My Laptop Pro has an issue: delivery delayed.
1412,Laptop Pro,Mumbai,Billing,High,2025-04-30,My Laptop Pro has an issue: battery drains fast.
1413,Tablet S,Hyderabad,Billing,Medium,2025-06-25,My Tablet S has an issue: shipment lost.
1414,Earbuds Q,Jaipur,Delivery,Low,2025-09-29,My Earbuds Q has an issue: device overheating.
1415,Phone X,Kolkata,Software,Medium,2025-02-14,My Phone X has an issue: payment failed.
1416,Earbuds Q,Ahmedabad,Software,High,2025-12-17,My Earbuds Q has an issue: wifi disconnects.
1417,Phone X,Bangalore,Network,Medium,2025-07-05,My Phone X has an issue: delivery delayed.
1418,Tablet S,Chennai,Software,High,2025-01-26,My Tablet S has an issue: screen not working.
1419,Smartwatch Z,Jaipur,Hardware,Low,2025-04-28,My Smartwatch Z has an issue: no sound.
1420,Earbuds Q,Pune,Delivery,High,2025-11-28,My Earbuds Q has an issue: shipment lost.
1421,Laptop Pro,Delhi,Billing,Medium,2025-08-31,My Laptop Pro has an issue: device overheating.
1422,Earbuds Q,Pune,Software,High,2025-10-26,My Earbuds Q has an issue: shipment lost.
1423,Smartwatch Z,Kolkata,Network,Low,2025-09-04,My Smartwatch Z has an issue: delivery delayed.
1424,Earbuds Q,Chennai,Software,Medium,2025-07-10,My Earbuds Q has an issue: wifi disconnects.
1425,Earbuds Q,Mumbai,Network,Medium,2025-06-27,My Earbuds Q has an issue: battery drains fast.
1426,Tablet S,Mumbai,Billing,Low,2025-01-14,My Tablet S has an issue: payment failed.
1427,Smartwatch Z,Bangalore,Delivery,Low,2025-07-23,My Smartwatch Z has an issue: shipment lost.
1428,Tablet S,Ahmedabad,Hardware,High,2025-01-30,My Tablet S has an issue: payment failed.
1429,Smartwatch Z,Hyderabad,Delivery,Medium,2025-02-04,My Smartwatch Z has an issue: battery drains fast.
1430,Tablet S,Jaipur,Software,High,2025-04-19,My Tablet S has an issue: camera blurred.
1431,Earbuds Q,Chennai,Billing,Low,2025-05-21,My Earbuds Q has an issue: app crashes.
1432,Tablet S,Kolkata,Hardware,High,2025-04-10,My Tablet S has an issue: battery drains fast.
1433,Tablet S,Lucknow,Network,Low,2025-03-13,My Tablet S has an issue: app crashes.
1434,Earbuds Q,Jaipur,Hardware,Critical,2025-03-09,My Earbuds Q has an issue: device overheating.
1435,Smartwatch Z,Kolkata,Delivery,High,2025-09-23,My Smartwatch Z has an issue: battery drains fast.
1436,Smartwatch Z,Delhi,Hardware,Medium,2025-03-17,My Smartwatch Z has an issue: app crashes.
1437,Tablet S,Hyderabad,Network,Medium,2025-11-13,My Tablet S has an issue: camera blurred.
1438,Phone X,Delhi,Delivery,Medium,2025-07-01,My Phone X has an issue: battery drains fast.
1439,Smartwatch Z,Lucknow,Hardware,Medium,2025-04-08,My Smartwatch Z has an issue: screen not working.
1440,Smartwatch Z,Pune,Software,Low,2025-02-12,My Smartwatch Z has an issue: shipment lost.
1441,Earbuds Q,Pune,Billing,Low,2025-09-19,My Earbuds Q has an issue: device overheating.
1442,Tablet S,Kolkata,Network,Low,2025-03-24,My Tablet S has an issue: payment failed.
1443,Laptop Pro,Hyderabad,Billing,Low,2025-07-25,My Laptop Pro has an issue: battery drains fast.
1444,Earbuds Q,Kolkata,Delivery,Medium,2025-09-29,My Earbuds Q has an issue: shipment lost.
1445,Laptop Pro,Bangalore,Delivery,Low,2025-12-22,My Laptop Pro has an issue: delivery delayed.
1446,Phone X,Pune,Billing,Medium,2025-09-02,My Phone X has an issue: screen not working.
1447,Earbuds Q,Hyderabad,Hardware,High,2025-09-17,My Earbuds Q has an issue: wifi disconnects.
1448,Smartwatch Z,Delhi,Billing,Medium,2025-08-29,My Smartwatch Z has an issue: wifi disconnects.
1449,Phone X,Ahmedabad,Billing,Medium,2025-01-25,My Phone X has an issue: device overheating.
1450,Tablet S,Kolkata,Delivery,Low,2025-10-28,My Tablet S has an issue: wifi disconnects.
1451,Earbuds Q,Kolkata,Billing,Medium,2025-01-21,My Earbuds Q has an issue: wifi disconnects.
1452,Tablet S,Bangalore,Delivery,Medium,2025-07-31,My Tablet S has an issue: payment failed.
1453,Smartwatch Z,Delhi,Billing,Low,2025-09-20,My Smartwatch Z has an issue: shipment lost.
1454,Tablet S,Lucknow,Hardware,Medium,2025-08-24,My Tablet S has an issue: camera blurred.
1455,Earbuds Q,Jaipur,Software,Medium,2025-10-23,My Earbuds Q has an issue: battery drains fast.
1456,Earbuds Q,Jaipur,Billing,Medium,2025-01-18,My Earbuds Q has an issue: app crashes.
1457,Phone X,Ahmedabad,Hardware,High,2025-07-18,My Phone X has an issue: camera blurred.
1458,Tablet S,Jaipur,Hardware,Medium,2025-03-24,My Tablet S has an issue: wifi disconnects.
1459,Phone X,Kolkata,Network,Medium,2025-03-27,My Phone X has an issue: camera blurred.
1460,Laptop Pro,Lucknow,Network,Medium,2025-03-28,My Laptop Pro has an issue: camera blurred.
1461,Phone X,Chennai,Software,Low,2025-12-18,My Phone X has an issue: no sound.
1462,Tablet S,Delhi,Delivery,Low,2025-06-18,My Tablet S has an issue: shipment lost.
1463,Tablet S,Delhi,Delivery,Medium,2025-03-18,My Tablet S has an issue: shipment lost.
1464,Smartwatch Z,Lucknow,Software,Medium,2025-01-22,My Smartwatch Z has an issue: delivery delayed.
1465,Smartwatch Z,Delhi,Delivery,Medium,2025-07-08,My Smartwatch Z has an issue: delivery delayed.
1466,Tablet S,Chennai,Delivery,Low,2025-11-19,My Tablet S has an issue: screen not working.
1467,Earbuds Q,Chennai,Software,Medium,2025-04-12,My Earbuds Q has an issue: shipment lost.
1468,Tablet S,Delhi,Billing,Medium,2025-10-17,My Tablet S has an issue: wifi disconnects.
1469,Laptop Pro,Bangalore,Hardware,Low,2025-05-13,My Laptop Pro has an issue: delivery delayed.
1470,Tablet S,Lucknow,Hardware,Low,2025-04-05,My Tablet S has an issue: delivery delayed.
1471,Earbuds Q,Mumbai,Network,Low,2025-09-04,My Earbuds Q has an issue: payment failed.
1472,Smartwatch Z,Lucknow,Billing,Medium,2025-05-29,My Smartwatch Z has an issue: app crashes.
1473,Laptop Pro,Lucknow,Network,High,2025-02-04,My Laptop Pro has an issue: device overheating.
1474,Phone X,Pune,Software,High,2025-02-05,My Phone X has an issue: payment failed.
1475,Earbuds Q,Hyderabad,Delivery,High,2025-09-28,My Earbuds Q has an issue: device overheating.
1476,Phone X,Hyderabad,Delivery,Low,2025-09-10,My Phone X has an issue: camera blurred.
1477,Earbuds Q,Ahmedabad,Network,High,2025-09-07,My Earbuds Q has an issue: delivery delayed.
1478,Smartwatch Z,Mumbai,Delivery,Low,2025-10-30,My Smartwatch Z has an issue: device overheating.
1479,Phone X,Kolkata,Network,Medium,2025-07-20,My Phone X has an issue: no sound.
1480,Smartwatch Z,Lucknow,Software,Medium,2025-05-09,My Smartwatch Z has an issue: camera blurred.
1481,Tablet S,Jaipur,Delivery,High,2025-09-16,My Tablet S has an issue: app crashes.
1482,Laptop Pro,Ahmedabad,Delivery,Medium,2025-07-20,My Laptop Pro has an issue: device overheating.
1483,Earbuds Q,Mumbai,Billing,Medium,2025-10-14,My Earbuds Q has an issue: payment failed.
1484,Tablet S,Pune,Hardware,Low,2025-05-13,My Tablet S has an issue: wifi disconnects.
1485,Phone X,Chennai,Software,Low,2025-02-18,My Phone X has an issue: app crashes.
1486,Phone X,Pune,Delivery,Low,2025-10-13,My Phone X has an issue: battery drains fast.
1487,Phone X,Ahmedabad,Billing,High,2025-05-17,My Phone X has an issue: battery drains fast.
1488,Earbuds Q,Chennai,Hardware,Medium,2025-08-26,My Earbuds Q has an issue: app crashes.
1489,Earbuds Q,Bangalore,Hardware,Medium,2025-03-02,My Earbuds Q has an issue: app crashes.
1490,Smartwatch Z,Jaipur,Hardware,Medium,2025-04-16,My Smartwatch Z has an issue: wifi disconnects.
1491,Tablet S,Ahmedabad,Network,Medium,2025-02-13,My Tablet S has an issue: app crashes.
1492,Earbuds Q,Delhi,Software,Low,2025-11-28,My Earbuds Q has an issue: device overheating.
1493,Smartwatch Z,Kolkata,Software,Medium,2025-05-23,My Smartwatch Z has an issue: device overheating.
1494,Tablet S,Jaipur,Software,Low,2025-07-23,My Tablet S has an issue: delivery delayed.
1495,Phone X,Chennai,Billing,Medium,2025-09-19,My Phone X has an issue: no sound.
1496,Smartwatch Z,Hyderabad,Network,Critical,2025-11-11,My Smartwatch Z has an issue: shipment lost.
1497,Laptop Pro,Bangalore,Software,Low,2025-06-12,My Laptop Pro has an issue: app crashes.
1498,Tablet S,Bangalore,Delivery,Medium,2025-12-10,My Tablet S has an issue: delivery delayed.
1499,Laptop Pro,Bangalore,Software,Low,2025-02-14,My Laptop Pro has an issue: shipment lost.
1500,Earbuds Q,Kolkata,Delivery,Low,2025-03-07,My Earbuds Q has an issue: no sound.
1501,Tablet S,Delhi,Network,High,2025-07-19,My Tablet S has an issue: camera blurred.
1502,Earbuds Q,Jaipur,Network,Low,2025-12-22,My Earbuds Q has an issue: camera blurred.
1503,Earbuds Q,Chennai,Software,Low,2025-04-19,My Earbuds Q has an issue: screen not working.
1504,Tablet S,Ahmedabad,Network,Medium,2025-11-02,My Tablet S has an issue: shipment lost.
1505,Earbuds Q,Kolkata,Delivery,Critical,2025-07-29,My Earbuds Q has an issue: device overheating.
1506,Earbuds Q,Delhi,Hardware,High,2025-01-25,My Earbuds Q has an issue: payment failed.
1507,Smartwatch Z,Lucknow,Network,Medium,2025-11-18,My Smartwatch Z has an issue: payment failed.
1508,Earbuds Q,Delhi,Hardware,Medium,2025-01-31,My Earbuds Q has an issue: no sound.
1509,Earbuds Q,Pune,Network,Medium,2025-01-24,My Earbuds Q has an issue: payment failed.
1510,Phone X,Bangalore,Hardware,Low,2025-12-08,My Phone X has an issue: battery drains fast.
1511,Smartwatch Z,Kolkata,Hardware,Medium,2025-02-10,My Smartwatch Z has an issue: battery drains fast.
1512,Tablet S,Delhi,Software,Medium,2025-04-09,My Tablet S has an issue: delivery delayed.
1513,Laptop Pro,Hyderabad,Billing,Low,2025-07-06,My Laptop Pro has an issue: no sound.
1514,Smartwatch Z,Lucknow,Hardware,Low,2025-02-22,My Smartwatch Z has an issue: app crashes.
1515,Tablet S,Lucknow,Hardware,Low,2025-11-28,My Tablet S has an issue: battery drains fast.
1516,Laptop Pro,Chennai,Billing,Medium,2025-05-31,My Laptop Pro has an issue: app crashes.
1517,Smartwatch Z,Lucknow,Billing,Critical,2025-01-23,My Smartwatch Z has an issue: screen not working.
1518,Phone X,Pune,Billing,Low,2025-01-27,My Phone X has an issue: device overheating.
1519,Earbuds Q,Jaipur,Delivery,Medium,2025-07-08,My Earbuds Q has an issue: device overheating.
1520,Laptop Pro,Mumbai,Billing,High,2025-09-17,My Laptop Pro has an issue: battery drains fast.
1521,Tablet S,Pune,Software,Low,2025-06-16,My Tablet S has an issue: device overheating.
1522,Earbuds Q,Delhi,Delivery,Medium,2025-09-28,My Earbuds Q has an issue: app crashes.
1523,Phone X,Delhi,Software,Medium,2025-11-27,My Phone X has an issue: app crashes.
1524,Smartwatch Z,Bangalore,Network,Medium,2025-04-16,My Smartwatch Z has an issue: delivery delayed.
1525,Laptop Pro,Chennai,Delivery,Low,2025-07-03,My Laptop Pro has an issue: payment failed.
1526,Phone X,Hyderabad,Software,Low,2025-08-15,My Phone X has an issue: shipment lost.
1527,Tablet S,Bangalore,Hardware,Medium,2025-05-28,My Tablet S has an issue: screen not working.
1528,Tablet S,Mumbai,Software,Medium,2025-07-29,My Tablet S has an issue: battery drains fast.
1529,Tablet S,Delhi,Software,High,2025-05-25,My Tablet S has an issue: device overheating.
1530,Earbuds Q,Lucknow,Delivery,Medium,2025-11-07,My Earbuds Q has an issue: device overheating.
1531,Smartwatch Z,Mumbai,Billing,Medium,2025-05-09,My Smartwatch Z has an issue: device overheating.
1532,Tablet S,Delhi,Hardware,Low,2025-01-07,My Tablet S has an issue: wifi disconnects.
1533,Earbuds Q,Mumbai,Billing,Medium,2025-12-10,My Earbuds Q has an issue: payment failed.
1534,Phone X,Kolkata,Delivery,Low,2025-09-12,My Phone X has an issue: wifi disconnects.
1535,Smartwatch Z,Lucknow,Billing,Medium,2025-09-06,My Smartwatch Z has an issue: no sound.
1536,Smartwatch Z,Lucknow,Billing,Low,2025-12-28,My Smartwatch Z has an issue: battery drains fast.
1537,Phone X,Chennai,Network,Medium,2025-12-10,My Phone X has an issue: wifi disconnects.
1538,Laptop Pro,Lucknow,Billing,Medium,2025-08-18,My Laptop Pro has an issue: app crashes.
1539,Earbuds Q,Pune,Hardware,Medium,2025-08-03,My Earbuds Q has an issue: device overheating.
1540,Tablet S,Hyderabad,Billing,Low,2025-10-03,My Tablet S has an issue: wifi disconnects.
1541,Earbuds Q,Delhi,Delivery,Low,2025-05-05,My Earbuds Q has an issue: no sound.
1542,Tablet S,Mumbai,Hardware,Low,2025-01-26,My Tablet S has an issue: delivery delayed.
1543,Laptop Pro,Delhi,Hardware,Low,2025-11-05,My Laptop Pro has an issue: no sound.
1544,Laptop Pro,Lucknow,Network,Critical,2025-12-14,My Laptop Pro has an issue: screen not working.
1545,Laptop Pro,Hyderabad,Software,Medium,2025-06-18,My Laptop Pro has an issue: wifi disconnects.
1546,Tablet S,Kolkata,Hardware,Low,2025-11-23,My Tablet S has an issue: camera blurred.
1547,Phone X,Pune,Hardware,Low,2025-05-27,My Phone X has an issue: delivery delayed.
1548,Phone X,Mumbai,Software,High,2025-01-02,My Phone X has an issue: delivery delayed.
1549,Tablet S,Bangalore,Delivery,Low,2025-11-05,My Tablet S has an issue: payment failed.
1550,Tablet S,Chennai,Hardware,Low,2025-09-08,My Tablet S has an issue: wifi disconnects.
1551,Phone X,Lucknow,Delivery,Medium,2025-12-05,My Phone X has an issue: wifi disconnects.
1552,Laptop Pro,Kolkata,Delivery,High,2025-06-18,My Laptop Pro has an issue: shipment lost.
1553,Tablet S,Mumbai,Hardware,Low,2025-09-24,My Tablet S has an issue: screen not working.
1554,Phone X,Ahmedabad,Billing,Low,2025-06-23,My Phone X has an issue: camera blurred.
1555,Laptop Pro,Delhi,Billing,Low,2025-08-23,My Laptop Pro has an issue: device overheating.
1556,Laptop Pro,Delhi,Hardware,Medium,2025-04-02,My Laptop Pro has an issue: shipment lost.
1557,Earbuds Q,Bangalore,Billing,Low,2025-12-22,My Earbuds Q has an issue: no sound.
1558,Laptop Pro,Jaipur,Billing,Low,2025-08-15,My Laptop Pro has an issue: app crashes.
1559,Earbuds Q,Jaipur,Billing,Medium,2025-11-12,My Earbuds Q has an issue: no sound.
1560,Earbuds Q,Kolkata,Network,High,2025-06-10,My Earbuds Q has an issue: shipment lost.
1561,Phone X,Ahmedabad,Network,Low,2025-01-13,My Phone X has an issue: wifi disconnects.
1562,Laptop Pro,Mumbai,Hardware,Low,2025-12-01,My Laptop Pro has an issue: payment failed.
1563,Laptop Pro,Chennai,Billing,Low,2025-09-10,My Laptop Pro has an issue: shipment lost.
1564,Tablet S,Jaipur,Hardware,Medium,2025-02-05,My Tablet S has an issue: wifi disconnects.
1565,Tablet S,Ahmedabad,Network,Medium,2025-09-19,My Tablet S has an issue: battery drains fast.
1566,Smartwatch Z,Ahmedabad,Delivery,Medium,2025-11-17,My Smartwatch Z has an issue: wifi disconnects.
1567,Laptop Pro,Bangalore,Hardware,Low,2025-01-07,My Laptop Pro has an issue: camera blurred.
1568,Tablet S,Mumbai,Billing,Medium,2025-03-12,My Tablet S has an issue: no sound.
1569,Smartwatch Z,Pune,Network,High,2025-09-20,My Smartwatch Z has an issue: payment failed.
1570,Laptop Pro,Bangalore,Delivery,Low,2025-11-11,My Laptop Pro has an issue: payment failed.
1571,Tablet S,Bangalore,Software,Medium,2025-11-07,My Tablet S has an issue: battery drains fast.
1572,Tablet S,Kolkata,Network,Low,2025-06-18,My Tablet S has an issue: shipment lost.
1573,Earbuds Q,Pune,Hardware,Medium,2025-10-13,My Earbuds Q has an issue: battery drains fast.
1574,Earbuds Q,Pune,Software,Medium,2025-10-08,My Earbuds Q has an issue: screen not working.
1575,Smartwatch Z,Hyderabad,Hardware,Low,2025-08-28,My Smartwatch Z has an issue: battery drains fast.
1576,Smartwatch Z,Pune,Billing,Medium,2025-09-15,My Smartwatch Z has an issue: no sound.
1577,Phone X,Lucknow,Billing,Medium,2025-10-19,My Phone X has an issue: wifi disconnects.
1578,Laptop Pro,Jaipur,Network,Low,2025-08-06,My Laptop Pro has an issue: wifi disconnects.
1579,Laptop Pro,Jaipur,Network,Medium,2025-12-27,My Laptop Pro has an issue: shipment lost.
1580,Tablet S,Chennai,Network,High,2025-12-04,My Tablet S has an issue: payment failed.
1581,Phone X,Jaipur,Billing,Low,2025-11-18,My Phone X has an issue: delivery delayed.
1582,Laptop Pro,Delhi,Delivery,Medium,2025-12-18,My Laptop Pro has an issue: camera blurred.
1583,Laptop Pro,Mumbai,Software,Medium,2025-02-11,My Laptop Pro has an issue: no sound.
1584,Smartwatch Z,Kolkata,Software,Low,2025-11-13,My Smartwatch Z has an issue: app crashes.
1585,Laptop Pro,Bangalore,Network,Medium,2025-10-23,My Laptop Pro has an issue: device overheating.
1586,Laptop Pro,Hyderabad,Billing,Medium,2025-01-23,My Laptop Pro has an issue: no sound.
1587,Phone X,Jaipur,Network,Low,2025-05-16,My Phone X has an issue: device overheating.
1588,Phone X,Kolkata,Billing,Low,2025-09-02,My Phone X has an issue: payment failed.
1589,Earbuds Q,Lucknow,Hardware,Medium,2025-12-27,My Earbuds Q has an issue: battery drains fast.
1590,Smartwatch Z,Pune,Delivery,Low,2025-09-23,My Smartwatch Z has an issue: screen not working.
1591,Phone X,Ahmedabad,Network,Medium,2025-05-09,My Phone X has an issue: no sound.
1592,Tablet S,Chennai,Billing,Medium,2025-02-18,My Tablet S has an issue: shipment lost.
1593,Laptop Pro,Hyderabad,Billing,Medium,2025-01-06,My Laptop Pro has an issue: delivery delayed.
1594,Smartwatch Z,Bangalore,Hardware,Medium,2025-01-15,My Smartwatch Z has an issue: no sound.
1595,Phone X,Delhi,Delivery,Low,2025-10-10,My Phone X has an issue: shipment lost.
1596,Earbuds Q,Chennai,Network,Critical,2025-10-25,My Earbuds Q has an issue: delivery delayed.
1597,Smartwatch Z,Mumbai,Software,High,2025-12-03,My Smartwatch Z has an issue: camera blurred.
1598,Phone X,Mumbai,Delivery,Low,2025-08-29,My Phone X has an issue: payment failed.
1599,Laptop Pro,Hyderabad,Software,Low,2025-03-19,My Laptop Pro has an issue: camera blurred.
1600,Earbuds Q,Ahmedabad,Delivery,Low,2025-08-14,My Earbuds Q has an issue: battery drains fast.
1601,Phone X,Pune,Software,Low,2025-11-17,My Phone X has an issue: delivery delayed.
1602,Laptop Pro,Ahmedabad,Hardware,Medium,2025-01-05,My Laptop Pro has an issue: battery drains fast.
1603,Laptop Pro,Hyderabad,Network,Low,2025-05-08,My Laptop Pro has an issue: device overheating.
1604,Phone X,Ahmedabad,Delivery,Low,2025-06-12,My Phone X has an issue: screen not working.
1605,Phone X,Ahmedabad,Hardware,Medium,2025-05-13,My Phone X has an issue: shipment lost.
1606,Phone X,Ahmedabad,Software,Critical,2025-01-20,My Phone X has an issue: battery drains fast.
1607,Phone X,Kolkata,Hardware,High,2025-08-13,My Phone X has an issue: no sound.
1608,Earbuds Q,Ahmedabad,Network,Critical,2025-03-01,My Earbuds Q has an issue: no sound.
1609,Earbuds Q,Mumbai,Hardware,Low,2025-11-30,My Earbuds Q has an issue: shipment lost.
